"entity_ID","geo_entity","longitude","latitude","area","dist","age_Ma","geology","spec_num","end_num","max_elev","mean_temp","mean_prec","mean_homogeneity"
385,"Mitiaro",-157.702198,-19.867127,24.6957,4999.529,12,"volcanic",93,3,15,25.03,1906,0.2148
386,"Nassau",-165.414581,-11.560594,1.1615,4620.826,NA,"atoll",24,0,17,27.48,2851,0.1167
388,"Rakahanga",-161.092266,-10.017356,4.8581,5118.757,NA,"atoll",29,0,20,27.65,2425,0.09632
391,"Takutea",-158.289026,-19.812513,1.1213,4946.091,NA,"atoll",28,0,12,25.05,1802,0.1397
402,"Jan Mayen",-8.386437,71.014732,385.9876,953.287,0.7,"volcanic",63,4,2104,-1.79,754.3,0.3721
414,"Madeira",-16.99913,32.746337,740.9377,641.173,4.63,"volcanic",623,74,1755,15.06,2147,0.3041
416,"Porto Santo",-16.342174,33.06918,40.3315,635.393,14,"volcanic",341,6,323,18.74,636.1,0.2001
418,"Santo Antao",-25.170055,17.056544,791.7953,836.939,3,"volcanic",148,4,1934,19.8,192.1,0.5169
419,"Sao Vicente",-24.967814,16.84552,226.3035,818.299,6.25,"volcanic",113,0,510,23.06,176.8,0.6228
421,"Sao Nicolau",-24.256203,16.598519,349.6401,723.112,6.2,"volcanic",110,6,1062,22.25,215,0.4861
422,"Sal",-22.931423,16.737222,223.3452,609.398,17.5,"volcanic",72,0,161,23.49,76.65,0.7092
423,"Boavista",-22.813981,16.098296,628.7409,570.692,16.6,"volcanic",91,0,267,23.58,83.93,0.6854
424,"Maio",-23.160626,15.217963,272.1296,599.567,16,"volcanic",83,0,247,23.99,165.5,0.4877
425,"Santiago, Cape Verde",-23.624804,15.083736,1009.5749,635.307,5,"volcanic",138,2,1086,22.71,256,0.3776
426,"Fogo",-24.384327,14.928326,474.6234,726.37,0.5,"volcanic",114,5,2517,18.99,424.5,0.4404
427,"Brava",-24.705479,14.851555,65.1444,768.001,0.5,"volcanic",79,0,848,22.38,368.1,0.3292
433,"Newfoundland",-56.038449,48.726561,111489.6498,17.288,NA,"shelf",952,0,833,3.863,1297,0.3326
465,"Maiao",-150.628687,-17.657071,13.0907,5782.606,3,"atoll",23,0,16,26.3,2279,0.09834
480,"Mehetia",-148.067523,-17.87527,2.519,6025.204,0.03,"volcanic",44,0,129,25.95,3141,0.101
481,"Moorea",-149.833709,-17.529055,134.3787,5861.031,1.75,"volcanic",191,6,736,25.32,2522,0.271
482,"Mopelia",-153.944045,-16.801771,5.9902,5493.281,NA,"atoll",33,0,11,26.5,1831,0.1112
490,"Nukutipipi",-143.053368,-20.70085,3.8866,6009.614,NA,"atoll",7,0,NA,NA,NA,NA
494,"Raiatea",-151.436886,-16.822012,173.6175,5735.518,2.76,"volcanic",245,38,906,25.61,3057,0.2549
505,"Tahaa",-151.493671,-16.622985,94.905,5739.196,3.24,"atoll",141,0,420,26.26,2641,0.2476
507,"Tahiti",-149.400753,-17.677486,1053.1299,5884.288,1.7,"volcanic",377,95,1709,23.69,3145,0.2904
509,"Takapoto",-145.206439,-14.628736,18.9142,5637.604,NA,"atoll",28,0,11,27.1,1609,0.1593
537,"Candlemas",-26.682234,-57.077849,11.4067,2690.353,1.5,"volcanic",1,0,466,-1.933,1660,NA
546,"Singapore",103.820131,1.356598,673.6968,0.165,NA,"shelf",1980,4,92,26.82,2381,0.1959
547,"Cabrera",2.943801,39.14508,12.3204,236.447,5.3,"fragment",336,0,140,18.02,540.8,0.3091
548,"Dragonera",2.319841,39.584266,3.1069,173.905,5.3,"fragment",96,0,98,17.76,571.8,0.1406
549,"Formentera",1.458441,38.692306,87.3197,99.565,5.3,"fragment",512,2,184,18.21,406.1,0.3476
550,"Ibiza",1.41095,38.983251,576.6727,86.702,5.3,"fragment",705,4,383,17.55,433.3,0.38
551,"Mallorca",2.956607,39.613452,3637.7537,167.804,5.3,"fragment",1062,51,1212,16.92,643.5,0.3211
552,"Menorca",4.07369,39.960245,702.1952,198.022,5.3,"fragment",822,10,246,17.26,559,0.2958
553,"Auckland Islands",166.097263,-50.736484,599.9194,1929.244,18,"fragment",166,2,583,7.112,1050,0.2071
